date,region,state,cases,deaths
4/11/2020,Norte,Rondônia,33,2
4/11/2020,Norte,Roraima,75,3
4/11/2020,Norte,Tocantins,23,0
4/11/2020,Sudeste,Espírito Santo,349,9
4/11/2020,Sudeste,Minas Gerais,750,17
4/11/2020,Sudeste,Rio de Janeiro,2607,155
4/11/2020,Sudeste,São Paulo,8419,560
4/11/2020,Sul,Paraná,676,26
4/11/2020,Sul,Rio Grande do Sul,640,15
4/11/2020,Sul,Santa Catarina,732,21
4/12/2020,Centro-Oeste,Distrito Federal,614,14
4/12/2020,Centro-Oeste,Goiás,229,14
4/12/2020,Centro-Oeste,Mato Grosso,123,3
4/12/2020,Centro-Oeste,Mato Grosso do Sul,101,2
4/12/2020,Nordeste,Alagoas,48,3
4/12/2020,Nordeste,Bahia,673,21
4/12/2020,Nordeste,Ceará,1676,74
4/12/2020,Nordeste,Maranhão,398,24
4/12/2020,Nordeste,Paraíba,101,13
4/12/2020,Nordeste,Pernambuco,960,85
4/12/2020,Nordeste,Piauí,44,7
4/12/2020,Nordeste,Rio Grande do Norte,302,15
4/12/2020,Nordeste,Sergipe,44,4
4/12/2020,Norte,Acre,77,2
4/12/2020,Norte,Amapá,230,5
4/12/2020,Norte,Amazonas,1206,62
4/12/2020,Norte,Pará,246,13
4/12/2020,Norte,Rondônia,35,2
4/12/2020,Norte,Roraima,79,3
4/12/2020,Norte,Tocantins,25,0
4/12/2020,Sudeste,Espírito Santo,383,9
4/12/2020,Sudeste,Minas Gerais,806,20
4/12/2020,Sudeste,Rio de Janeiro,2855,170
4/12/2020,Sudeste,São Paulo,8755,588
4/12/2020,Sul,Paraná,738,30
4/12/2020,Sul,Rio Grande do Sul,653,16
4/12/2020,Sul,Santa Catarina,768,24
4/13/2020,Centro-Oeste,Distrito Federal,638,15
4/13/2020,Centro-Oeste,Goiás,233,15
4/13/2020,Centro-Oeste,Mato Grosso,134,4
4/13/2020,Centro-Oeste,Mato Grosso do Sul,113,4
4/13/2020,Nordeste,Alagoas,50,3
4/13/2020,Nordeste,Bahia,723,22
4/13/2020,Nordeste,Ceará,1800,91
4/13/2020,Nordeste,Maranhão,445,27
4/13/2020,Nordeste,Paraíba,111,13
4/13/2020,Nordeste,Pernambuco,1154,102
4/13/2020,Nordeste,Piauí,50,8
4/13/2020,Nordeste,Rio Grande do Norte,339,17
4/13/2020,Nordeste,Sergipe,44,4
4/13/2020,Norte,Acre,90,3
4/13/2020,Norte,Amapá,242,5
4/13/2020,Norte,Amazonas,1275,71
4/13/2020,Norte,Pará,270,15
4/13/2020,Norte,Rondônia,42,2
4/13/2020,Norte,Roraima,83,3
4/13/2020,Norte,Tocantins,26,0
4/13/2020,Sudeste,Espírito Santo,430,14
4/13/2020,Sudeste,Minas Gerais,815,23
4/13/2020,Sudeste,Rio de Janeiro,3231,188
4/13/2020,Sudeste,São Paulo,8895,608
4/13/2020,Sul,Paraná,756,31
4/13/2020,Sul,Rio Grande do Sul,664,16
4/13/2020,Sul,Santa Catarina,777,24
4/14/2020,Centro-Oeste,Distrito Federal,651,17
4/14/2020,Centro-Oeste,Goiás,284,15
4/14/2020,Centro-Oeste,Mato Grosso,138,4
4/14/2020,Centro-Oeste,Mato Grosso do Sul,115,4
4/14/2020,Nordeste,Alagoas,72,4
4/14/2020,Nordeste,Bahia,759,22
4/14/2020,Nordeste,Ceará,2005,107
4/14/2020,Nordeste,Maranhão,478,32
4/14/2020,Nordeste,Paraíba,136,16
4/14/2020,Nordeste,Pernambuco,1284,115
4/14/2020,Nordeste,Piauí,58,8
4/14/2020,Nordeste,Rio Grande do Norte,376,18
4/14/2020,Nordeste,Sergipe,45,4
4/14/2020,Norte,Acre,99,3
4/14/2020,Norte,Amapá,307,6
4/14/2020,Norte,Amazonas,1484,90
4/14/2020,Norte,Pará,323,19
4/14/2020,Norte,Rondônia,64,2
4/14/2020,Norte,Roraima,113,3
4/14/2020,Norte,Tocantins,26,0
4/14/2020,Sudeste,Espírito Santo,463,17
4/14/2020,Sudeste,Minas Gerais,884,27
4/14/2020,Sudeste,Rio de Janeiro,3410,224
4/14/2020,Sudeste,São Paulo,9371,695
4/14/2020,Sul,Paraná,791,36
4/14/2020,Sul,Rio Grande do Sul,700,18
4/14/2020,Sul,Santa Catarina,826,26
4/15/2020,Centro-Oeste,Distrito Federal,682,17
4/15/2020,Centro-Oeste,Goiás,304,15
4/15/2020,Centro-Oeste,Mato Grosso,151,4
4/15/2020,Centro-Oeste,Mato Grosso do Sul,121,4
4/15/2020,Nordeste,Alagoas,82,5
4/15/2020,Nordeste,Bahia,807,27
4/15/2020,Nordeste,Ceará,2157,116
4/15/2020,Nordeste,Maranhão,630,34
4/15/2020,Nordeste,Paraíba,151,21
4/15/2020,Nordeste,Pernambuco,1484,143
4/15/2020,Nordeste,Piauí,75,8
4/15/2020,Nordeste,Rio Grande do Norte,399,19
4/15/2020,Nordeste,Sergipe,46,4
4/15/2020,Norte,Acre,101,3
4/15/2020,Norte,Amapá,334,7
4/15/2020,Norte,Amazonas,1554,106
4/15/2020,Norte,Pará,384,21
4/15/2020,Norte,Rondônia,69,2
4/15/2020,Norte,Roraima,114,3
4/15/2020,Norte,Tocantins,26,1
4/15/2020,Sudeste,Espírito Santo,557,18
4/15/2020,Sudeste,Minas Gerais,903,30
4/15/2020,Sudeste,Rio de Janeiro,3743,265
4/15/2020,Sudeste,São Paulo,11043,778
4/15/2020,Sul,Paraná,803,38
4/15/2020,Sul,Rio Grande do Sul,747,19
4/15/2020,Sul,Santa Catarina,853,28
4/16/2020,Centro-Oeste,Distrito Federal,716,20
4/16/2020,Centro-Oeste,Goiás,318,16
4/16/2020,Centro-Oeste,Mato Grosso,156,5
4/16/2020,Centro-Oeste,Mato Grosso do Sul,131,5
4/16/2020,Nordeste,Alagoas,89,5
4/16/2020,Nordeste,Bahia,951,30
4/16/2020,Nordeste,Ceará,2386,124
4/16/2020,Nordeste,Maranhão,695,37
4/16/2020,Nordeste,Paraíba,165,24
4/16/2020,Nordeste,Pernambuco,1683,160
4/16/2020,Nordeste,Piauí,91,8
4/16/2020,Nordeste,Rio Grande do Norte,400,20
4/16/2020,Nordeste,Sergipe,48,4
4/16/2020,Norte,Acre,110,5
4/16/2020,Norte,Amapá,362,9
4/16/2020,Norte,Amazonas,1719,124
4/16/2020,Norte,Pará,438,24
4/16/2020,Norte,Rondônia,76,3
4/16/2020,Norte,Roraima,142,3
4/16/2020,Norte,Tocantins,29,1
4/16/2020,Sudeste,Espírito Santo,754,22
4/16/2020,Sudeste,Minas Gerais,958,33
4/16/2020,Sudeste,Rio de Janeiro,3944,300
4/16/2020,Sudeste,São Paulo,11568,853
4/16/2020,Sul,Paraná,832,41
4/16/2020,Sul,Rio Grande do Sul,780,19
4/16/2020,Sul,Santa Catarina,884,29
4/17/2020,Centro-Oeste,Distrito Federal,746,20
